"Step","resnet50_224_aug - loss","resnet50_224_aug - loss__MIN","resnet50_224_aug - loss__MAX","resnet18_224 - loss","resnet18_224 - loss__MIN","resnet18_224 - loss__MAX","resnet50_32_aug_3x3_relu - loss","resnet50_32_aug_3x3_relu - loss__MIN","resnet50_32_aug_3x3_relu - loss__MAX","resnet18_32_aug_3x3 - loss","resnet18_32_aug_3x3 - loss__MIN","resnet18_32_aug_3x3 - loss__MAX","resnet50_224 - loss","resnet50_224 - loss__MIN","resnet50_224 - loss__MAX","resnet50_32_aug_3x3 - loss","resnet50_32_aug_3x3 - loss__MIN","resnet50_32_aug_3x3 - loss__MAX"
"37","0.0038464904942084105","0.0038464904942084105","0.0038464904942084105","0.00022975795326754452","0.00022975795326754452","0.00022975795326754452","0.04753511603236198","0.04753511603236198","0.04753511603236198","0.1281528729724884","0.1281528729724884","0.1281528729724884","0.00014628709330223501","0.00014628709330223501","0.00014628709330223501","0.03434408313035965","0.03434408313035965","0.03434408313035965"
"38","0.005110498123727739","0.005110498123727739","0.005110498123727739","0.00021308939887443556","0.00021308939887443556","0.00021308939887443556","0.04023951249465346","0.04023951249465346","0.04023951249465346","0.12107373050451278","0.12107373050451278","0.12107373050451278","0.00013387969441711902","0.00013387969441711902","0.00013387969441711902","0.03456805738389492","0.03456805738389492","0.03456805738389492"
"39","0.003529876130260527","0.003529876130260527","0.003529876130260527","0.00021905802675988524","0.00021905802675988524","0.00021905802675988524","0.037895649619698525","0.037895649619698525","0.037895649619698525","0.11532897051334381","0.11532897051334381","0.11532897051334381","0.0001453212927072309","0.0001453212927072309","0.0001453212927072309","0.02859145198225975","0.02859145198225975","0.02859145198225975"
"40","0.004415057541504503","0.004415057541504503","0.004415057541504503","0.00021019793529994786","0.00021019793529994786","0.00021019793529994786","0.03184747417747975","0.03184747417747975","0.03184747417747975","0.11157570429325103","0.11157570429325103","0.11157570429325103","0.00019863713118247687","0.00019863713118247687","0.00019863713118247687","0.031303925484120844","0.031303925484120844","0.031303925484120844"
"41","0.003109931996567175","0.003109931996567175","0.003109931996567175","0.0001963358648866415","0.0001963358648866415","0.0001963358648866415","0.03399447537600994","0.03399447537600994","0.03399447537600994","0.10772798501014709","0.10772798501014709","0.10772798501014709","0.00014497886274708434","0.00014497886274708434","0.00014497886274708434","0.030007746160030366","0.030007746160030366","0.030007746160030366"
"42","0.004521094162464142","0.004521094162464142","0.004521094162464142","0.0001784183661453426","0.0001784183661453426","0.0001784183661453426","0.03082899641007185","0.03082899641007185","0.03082899641007185","0.10156738607883453","0.10156738607883453","0.10156738607883453","0.00010147295571048744","0.00010147295571048744","0.00010147295571048744","0.02677577416986227","0.02677577416986227","0.02677577416986227"
"43","0.002971479575461708","0.002971479575461708","0.002971479575461708","0.00018752858980558812","0.00018752858980558812","0.00018752858980558812","0.030635441281795503","0.030635441281795503","0.030635441281795503","0.09433215724706649","0.09433215724706649","0.09433215724706649","0.00010145469431299716","0.00010145469431299716","0.00010145469431299716","0.02617443624727428","0.02617443624727428","0.02617443624727428"
"44","0.0024705444388929756","0.0024705444388929756","0.0024705444388929756","0.00017865040807519108","0.00017865040807519108","0.00017865040807519108","0.028914362956658005","0.028914362956658005","0.028914362956658005","0.09501922791361808","0.09501922791361808","0.09501922791361808","0.00009914499708800576","0.00009914499708800576","0.00009914499708800576","0.024572907143235206","0.024572907143235206","0.024572907143235206"
"45","0.002695164199890569","0.002695164199890569","0.002695164199890569","0.00017105178222991525","0.00017105178222991525","0.00017105178222991525","0.027233780429810287","0.027233780429810287","0.027233780429810287","0.08480774435520172","0.08480774435520172","0.08480774435520172","0.00007862795478198677","0.00007862795478198677","0.00007862795478198677","0.021027732374817133","0.021027732374817133","0.021027732374817133"
"46","0.002622437163060531","0.002622437163060531","0.002622437163060531","0.00016897336660884321","0.00016897336660884321","0.00016897336660884321","0.026500707900822162","0.026500707900822162","0.026500707900822162","0.07892981887340546","0.07892981887340546","0.07892981887340546","0.00009183661633112934","0.00009183661633112934","0.00009183661633112934","0.019132668973244726","0.019132668973244726","0.019132668973244726"
