"Step","resnet50_224_aug - acc","resnet50_224_aug - acc__MIN","resnet50_224_aug - acc__MAX","resnet18_224 - acc","resnet18_224 - acc__MIN","resnet18_224 - acc__MAX","resnet50_32_aug_3x3_relu - acc","resnet50_32_aug_3x3_relu - acc__MIN","resnet50_32_aug_3x3_relu - acc__MAX","resnet18_32_aug_3x3 - acc","resnet18_32_aug_3x3 - acc__MIN","resnet18_32_aug_3x3 - acc__MAX","resnet50_224 - acc","resnet50_224 - acc__MIN","resnet50_224 - acc__MAX","resnet50_32_aug_3x3 - acc","resnet50_32_aug_3x3 - acc__MIN","resnet50_32_aug_3x3 - acc__MAX"
"88","0.9713","0.9713","0.9713","0.9562","0.9562","0.9562","0.9405","0.9405","0.9405","0.9083","0.9083","0.9083","0.9548","0.9548","0.9548","0.9418","0.9418","0.9418"
"89","0.9721","0.9721","0.9721","0.9567","0.9567","0.9567","0.9396","0.9396","0.9396","0.9062","0.9062","0.9062","0.9619","0.9619","0.9619","0.9385","0.9385","0.9385"
"90","0.9709","0.9709","0.9709","0.9567","0.9567","0.9567","0.9416","0.9416","0.9416","0.9137","0.9137","0.9137","0.959","0.959","0.959","0.9424","0.9424","0.9424"
"91","0.9724","0.9724","0.9724","0.9565","0.9565","0.9565","0.9401","0.9401","0.9401","0.9061","0.9061","0.9061","0.959","0.959","0.959","0.9434","0.9434","0.9434"
"92","0.9718","0.9718","0.9718","0.9563","0.9563","0.9563","0.9364","0.9364","0.9364","0.9042","0.9042","0.9042","0.9605","0.9605","0.9605","0.9447","0.9447","0.9447"
"93","0.9744","0.9744","0.9744","0.9559","0.9559","0.9559","0.9415","0.9415","0.9415","0.9117","0.9117","0.9117","0.9617","0.9617","0.9617","0.9423","0.9423","0.9423"
"94","0.973","0.973","0.973","0.9567","0.9567","0.9567","0.9397","0.9397","0.9397","0.9152","0.9152","0.9152","0.9644","0.9644","0.9644","0.9412","0.9412","0.9412"
"95","0.9734","0.9734","0.9734","0.9562","0.9562","0.9562","0.9431","0.9431","0.9431","0.9054","0.9054","0.9054","0.9652","0.9652","0.9652","0.9436","0.9436","0.9436"
"96","0.9724","0.9724","0.9724","0.9562","0.9562","0.9562","0.9433","0.9433","0.9433","0.9115","0.9115","0.9115","0.9649","0.9649","0.9649","0.9459","0.9459","0.9459"
"97","0.9706","0.9706","0.9706","0.9554","0.9554","0.9554","0.9442","0.9442","0.9442","0.9166","0.9166","0.9166","0.9626","0.9626","0.9626","0.9444","0.9444","0.9444"
"98","0.9722","0.9722","0.9722","0.9567","0.9567","0.9567","0.9401","0.9401","0.9401","0.912","0.912","0.912","0.9623","0.9623","0.9623","0.9393","0.9393","0.9393"
"99","0.9719","0.9719","0.9719","0.9565","0.9565","0.9565","0.9412","0.9412","0.9412","0.9121","0.9121","0.9121","0.9605","0.9605","0.9605","0.9442","0.9442","0.9442"
